,time,age,round,game_id,text,attacker,war,target
67,2020-09-21 10:45:00,III,14,7482019,Purple declares War over Resources on Grey#The victor takes a total number of resources/food equal to the strength advantage from the defeated civilization. 2 military actions used #,Purple,Resources,Grey
68,2020-10-05 15:49:32,III,18,7482338,Green declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Green,Culture,Purple
69,2020-10-30 22:32:52,III,18,7483387,Grey declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Grey,Culture,Green
70,2020-10-28 13:38:51,II,12,7483387,Orange declares War over Resources on Green#The victor takes a total number of resources/food equal to the strength advantage from the defeated civilization. 2 military actions used #,Orange,Resources,Green
71,2020-11-16 08:57:25,III,15,7484166,Green declares War over Resources on Grey#The victor takes a total number of resources/food equal to the strength advantage from the defeated civilization. 2 military actions used #,Green,Resources,Grey
72,2020-11-30 11:59:44,III,17,7484894,Orange declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Green
73,2020-11-28 00:03:01,III,14,7484894,Grey declares War over Technology on Green#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. 2 military actions used #,Grey,Technology,Green
74,2020-12-22 11:05:03,IV,19,7485891,Purple declares War over Culture on Grey#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Purple,Culture,Grey
75,2021-01-06 12:29:35,III,18,7486444,Green declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Green,Culture,Purple
76,2021-01-05 13:43:37,III,17,7486444,Green declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Green,Culture,Purple
77,2021-01-05 10:10:30,III,16,7486444,Green declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Green,Culture,Purple
78,2021-01-30 14:48:37,III,18,7487030,Purple declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 6 military actions used #,Purple,Culture,Green
79,2021-01-29 16:12:14,III,15,7487030,Purple declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Purple,Culture,Green
80,2021-02-16 08:54:28,III,16,7488202,Orange declares War over Culture on Purple#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Purple
81,2021-03-10 10:56:35,II,11,7489429,Orange declares War over Territory on Purple#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Orange uses 2 military action #,Orange,Territory,Purple
82,2021-03-16 06:48:48,III,15,7489723,Purple declares War over Culture on Green#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Purple uses 3 military action #,Purple,Culture,Green
83,2021-03-28 10:20:08,IV,17,7489957,Green declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 3 military action #,Green,Culture,Orange
84,2021-03-28 09:43:42,IV,17,7489957,Purple declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Purple uses 3 military action #,Purple,Culture,Orange
85,2021-03-27 19:26:48,III,16,7489957,Green declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 6 military action #,Green,Culture,Orange
86,2021-03-25 20:06:29,II,11,7489957,Green declares War over Territory on Orange#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Green uses 2 military action #,Green,Territory,Orange
87,2021-03-25 10:18:00,II,8,7489957,Purple declares War over Technology on Green#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Purple uses 2 military action #,Purple,Technology,Green
88,2021-04-05 21:40:38,III,16,7490386,Green declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 3 military action #,Green,Culture,Grey
89,2021-04-02 15:13:49,II,11,7490386,Purple declares War over Technology on Grey#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Purple uses 2 military action #,Purple,Technology,Grey
90,2021-04-14 21:18:20,II,10,7490649,Grey declares War over Technology on Purple#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Grey uses 2 military action #,Grey,Technology,Purple
91,2021-04-26 08:07:02,III,13,7491046,Purple declares War over Territory on Grey#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Purple uses 2 military action #,Purple,Territory,Grey
92,2021-06-03 10:03:51,III,14,7492262,Purple declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Purple uses 3 military action #,Purple,Culture,Orange
93,2021-07-01 14:18:42,IV,17,7493350,Grey declares War over Culture on Orange#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Grey uses 3 military action #,Grey,Culture,Orange
94,2021-07-01 08:55:02,III,13,7493350,Grey declares War over Technology on Purple#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Grey uses 2 military action #,Grey,Technology,Purple
95,2021-07-01 08:46:54,III,13,7493350,Purple declares War over Technology on Green#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. Purple uses 2 military action #,Purple,Technology,Green
