,player,territory,bid,time,age,round,game_id,text
214,Green,Historic Territory,5,2020-10-12 11:26:41,II,10,7482908,Green wins Historic Territory#Winning bid is 5#
215,Green,Developed Territory,5,2020-10-10 19:09:34,II,8,7482908,Green wins Developed Territory#Winning bid is 5#
216,Orange,Fertile Territory,5,2020-10-09 09:13:28,I,6,7482908,Orange wins Fertile Territory#Winning bid is 5#
217,Purple,Inhabited Territory,5,2020-10-31 18:48:20,IV,20,7483387,Purple wins Inhabited Territory#Winning bid is 5#
218,Purple,Wealthy Territory,5,2020-10-30 21:30:06,III,18,7483387,Purple wins Wealthy Territory#Winning bid is 5#
219,Orange,Historic Territory,4,2020-10-29 20:41:37,III,16,7483387,Orange wins Historic Territory#Winning bid is 4#
220,Grey,Wealthy Territory,5,2020-10-28 14:42:44,II,12,7483387,Grey wins Wealthy Territory#Winning bid is 5#
221,Orange,Fertile Territory,5,2020-10-28 11:29:44,II,11,7483387,Orange wins Fertile Territory#Winning bid is 5#
222,Orange,Historic Territory,3,2020-10-20 16:48:49,I,8,7483387,Orange wins Historic Territory#Winning bid is 3#
223,Purple,Wealthy Territory,7,2020-11-16 13:35:25,III,17,7484166,Purple wins Wealthy Territory#Winning bid is 7#
224,Orange,Inhabited Territory,9,2020-11-14 20:34:53,III,14,7484166,Orange wins Inhabited Territory#Winning bid is 9#
225,Grey,Fertile Territory,8,2020-11-13 15:22:06,II,13,7484166,Grey wins Fertile Territory#Winning bid is 8#
226,Orange,Developed Territory,4,2020-11-13 14:53:57,II,13,7484166,Orange wins Developed Territory#Winning bid is 4#
227,Orange,Developed Territory,4,2020-11-13 14:21:13,II,12,7484166,Orange wins Developed Territory#Winning bid is 4#
228,Green,Wealthy Territory,4,2020-11-13 14:05:02,II,12,7484166,Green wins Wealthy Territory#Winning bid is 4#
229,Green,Fertile Territory,2,2020-11-11 08:59:58,II,8,7484166,Green wins Fertile Territory#Winning bid is 2#
230,Orange,Developed Territory,2,2020-12-01 10:10:24,IV,19,7484894,Orange wins Developed Territory#Winning bid is 2#
231,Grey,Wealthy Territory,12,2020-12-01 07:42:30,IV,19,7484894,Grey wins Wealthy Territory#Winning bid is 12#
232,Purple,Historic Territory,8,2020-11-29 23:12:38,III,15,7484894,Purple wins Historic Territory#Winning bid is 8#
233,Green,Inhabited Territory,5,2020-11-23 14:43:08,II,10,7484894,Green wins Inhabited Territory#Winning bid is 5#
234,Purple,Wealthy Territory,2,2020-11-20 22:22:06,II,9,7484894,Purple wins Wealthy Territory#Winning bid is 2#
235,Green,Fertile Territory,3,2020-11-18 17:08:42,I,5,7484894,Green wins Fertile Territory#Winning bid is 3#
236,Green,Strategic Territory,11,2020-12-22 11:51:43,IV,20,7485891,Green wins Strategic Territory#Winning bid is 11#
237,Purple,Inhabited Territory,6,2020-12-17 20:06:37,II,13,7485891,Purple wins Inhabited Territory#Winning bid is 6#
238,Green,Fertile Territory,5,2020-12-16 13:30:30,II,10,7485891,Green wins Fertile Territory#Winning bid is 5#
239,Green,Historic Territory,4,2020-12-15 12:58:48,II,9,7485891,Green wins Historic Territory#Winning bid is 4#
240,Green,Wealthy Territory,5,2020-12-15 09:59:32,II,9,7485891,Green wins Wealthy Territory#Winning bid is 5#
241,Green,Inhabited Territory,3,2020-12-11 17:05:17,I,7,7485891,Green wins Inhabited Territory#Winning bid is 3#
242,Orange,Developed Territory,2,2020-12-10 19:58:57,I,7,7485891,Orange wins Developed Territory#Winning bid is 2#
243,Purple,Strategic Territory,3,2020-12-10 15:48:22,I,5,7485891,Purple wins Strategic Territory#Winning bid is 3#
244,Orange,Strategic Territory,7,2021-01-06 11:43:33,III,18,7486444,Orange wins Strategic Territory#Winning bid is 7#
245,Orange,Fertile Territory,7,2021-01-04 17:21:30,III,14,7486444,Orange wins Fertile Territory#Winning bid is 7#
246,Orange,Inhabited Territory,4,2021-01-04 15:55:43,II,13,7486444,Orange wins Inhabited Territory#Winning bid is 4#
247,Orange,Historic Territory,3,2021-01-04 09:38:26,II,10,7486444,Orange wins Historic Territory#Winning bid is 3#
